"","Item","Prop","Value"
"1","Q88942931","P1153","55601547800"
"2","Q110157864","P1153","57193573500"
"3","Q110157866","P496","""0000-0002-1939-7242"""
"4","Q110157866","P1153","57192199859"
"5","Q110157867","P1153","57194787299"
"6","Q110157868","P1153","57219670699"
"7","Q110157869","P1153","57000386200"
"8","Q64684743","P496","""0000-0002-8743-3639"""
"9","Q64684743","P1153","56699639900"
"10","Q110157870","P1153","35301786200"
"11","Q110157871","P1153","57194025033"
"12","Q110157872","P1153","57044125600"
"13","Q110157873","P1153","56653161000"
"14","Q64454665","P1153","7201924951"
"15","Q6193358","P1153","55477883800"
"16","Q110157875","P496","""0000-0002-8183-7149"""
"17","Q109929713","P496","""0000-0002-7902-0455"""
"18","Q90305318","P1153","55205979800"
"19","Q37834331","P496","""0000-0002-0640-4634"""
"20","Q37834331","P1153","12793274600"
"21","Q37834331","P1053","""F-6851-2012"""
"22","Q110157876","P1153","35868032900"
"23","Q110157877","P496","""0000-0002-6210-6957"""
"24","Q110157877","P1153","55516625700"
"25","Q110157878","P1153","57212465273"
"26","Q110157879","P1153","57221809284"
"27","Q110157880","P496","""0000-0003-1833-3519"""
"28","Q110157880","P1153","57193135894"
"29","Q110157880","P1053","""AAG-5347-2019"""
"30","Q110157881","P496","""0000-0003-1222-2666"""
"31","Q110157881","P1153","55895255700"
"32","Q103312526","P496","""0000-0002-0748-3530"""
"33","Q103312526","P1153","57208242224"
"34","Q103312526","P1053","""ABC-6734-2020"""
"35","Q110157882","P1153","57193404244"
"36","Q110157883","P1153","55395786100"
"37","Q110157884","P1153","57214677595"
"38","Q85917348","P496","""0000-0002-1813-0634"""
"39","Q85917348","P1153","6603182062"
"40","Q85917348","P1053","""L-3804-2017"""
"41","Q110157885","P496","""0000-0002-1379-065X"""
"42","Q110157885","P1153","56392805800"
"43","Q110157886","P1153","57190140677"
"44","Q110157887","P1153","55996783200"
"45","Q110157889","P1153","57201582881"
"46","Q110157890","P496","""0000-0002-1407-0507"""
"47","Q110157890","P1153","55910490900"
"48","Q1188947","P496","""0000-0001-7823-5326"""
"49","Q1188947","P1153","11240117000"
"50","Q110157891","P496","""0000-0002-5530-9596"""
"51","Q110157892","P496","""0000-0001-6430-9806"""
"52","Q110157892","P1153","57190424564"
"53","Q110157892","P1053","""AAA-8598-2019"""
"54","Q110157893","P1153","37048572200"
"55","Q110157894","P1153","56196263100"
"56","Q87867364","P1153","16400800900"
"57","Q60961759","P496","""0000-0002-9600-5572"""
"58","Q60961759","P1153","13002777700"
"59","Q110157897","P1153","57022203400"
"60","Q110157898","P1153","34976333100"
"61","Q110157899","P496","""0000-0001-7747-7956"""
"62","Q110157899","P1153","57218145474"
"63","Q30506634","P496","""0000-0002-2510-1399"""
"64","Q30506634","P1153","7003711968"
"65","Q30506634","P1053","""AAA-9786-2019"""
"66","Q110157900","P496","""0000-0001-8671-2110"""
"67","Q110157900","P1153","26532331500"
"68","Q104580549","P1153","56239753600"
"69","Q110157901","P1153","57203135969"
"70","Q85507539","P496","""0000-0001-6558-2580"""
"71","Q85507539","P1153","57219966404"
"72","Q110157902","P1153","57221307626"
"73","Q110157903","P496","""0000-0002-2093-1086"""
"74","Q110157903","P1153","57201471331"
"75","Q110157904","P1153","38761003000"
"76","Q110157905","P1153","57143597600"
"77","Q73702287","P1153","6507235275"
"78","Q110157906","P1153","57194462802"
"79","Q80331758","P496","""0000-0002-0693-4547"""
"80","Q80331758","P1153","35464414400"
"81","Q110157907","P1153","55860800282"
"82","Q110157908","P1153","57005930500"
"83","Q110157909","P1153","7404223167"
"84","Q110157910","P1153","57192187817"
"85","Q85328910","P496","""0000-0003-3649-2003"""
"86","Q85328910","P1153","56420790200"
"87","Q85328910","P1053","""M-1066-2018"""
"88","Q96606724","P496","""0000-0001-6595-118X"""
"89","Q96606724","P1153","36190447800"
"90","Q110157911","P1153","57212306550"
"91","Q44754645","P496","""0000-0002-8257-5128"""
"92","Q44754645","P1153","7404765357"
"93","Q44754645","P1053","""A-4259-2012"""
"94","Q110157912","P1153","35232317300"
"95","Q60683395","P496","""0000-0002-6841-7422"""
"96","Q60683395","P1153","15821617100"
"97","Q60683395","P1053","""S-1005-2017"""
"98","Q59519222","P496","""0000-0002-4495-7926"""
"99","Q59519222","P1153","49862825900"
"100","Q59519222","P1053","""H-1167-2011"""
"101","Q89073905","P496","""0000-0002-9932-3285"""
"102","Q89073905","P1153","56712228200"
"103","Q110157913","P496","""0000-0003-3631-5461"""
"104","Q110157913","P1153","56991914000"
"105","Q110157914","P496","""0000-0001-6801-7720"""
"106","Q110157914","P1153","57219907748"
"107","Q110157914","P1053","""AAJ-9491-2021"""
"108","Q110157915","P1153","7006420608"
"109","Q110157915","P1053","""E-7358-2010"""
"110","Q110157916","P496","""0000-0002-4865-5562"""
"111","Q110157916","P1153","7102640681"
"112","Q110157917","P1153","36889425100"
"113","Q110157918","P496","""0000-0003-1837-1240"""
"114","Q110157918","P1153","55746173500"
"115","Q110157919","P1153","57215717249"
"116","Q110157920","P496","""0000-0003-4968-8689"""
"117","Q110157920","P1153","57203384534"
"118","Q85850410","P1153","57150044200"
"119","Q55294752","P496","""0000-0003-1231-8641"""
"120","Q55294752","P1153","55914097500"
"121","Q110157921","P1153","56153596200"
"122","Q110157922","P1153","57220027303"
"123","Q110157923","P496","""0000-0001-5898-299X"""
"124","Q110157923","P1153","57194551046"
"125","Q110157924","P496","""0000-0002-3410-0304"""
"126","Q110157924","P1153","55293557400"
"127","Q88309759","P496","""0000-0002-6483-8959"""
"128","Q88309759","P1153","56514026000"
"129","Q110157925","P496","""0000-0002-5191-6823"""
"130","Q110157925","P1153","8761700100"
"131","Q110157926","P496","""0000-0002-0305-5168"""
"132","Q110157926","P1153","6602832211"
"133","Q86121882","P1153","56426199600"
"134","Q55743573","P496","""0000-0002-7604-3985"""
"135","Q55743573","P1153","14419942100"
"136","Q55743573","P1053","""K-6985-2019"""
"137","Q87981657","P496","""0000-0001-6052-8657"""
"138","Q87981657","P1153","57196006846"
"139","Q87981657","P1053","""N-2520-2017"""
"140","Q61073619","P496","""0000-0002-6026-5735"""
"141","Q61073619","P1153","57190744469"
"142","Q61073619","P1053","""X-9002-2019"""
"143","Q110157927","P496","""0000-0003-0070-182X"""
"144","Q110157927","P1153","54892893300"
"145","Q88320548","P496","""0000-0002-4073-4805"""
"146","Q88320548","P1153","35551329400"
"147","Q110157928","P496","""0000-0002-2080-9005"""
"148","Q110157929","P496","""0000-0002-4236-2910"""
"149","Q110157929","P1153","55987180600"
"150","Q110157931","P1153","55263411000"
"151","Q110157932","P496","""0000-0002-0059-0376"""
"152","Q110157932","P1153","49962870500"
"153","Q110157933","P496","""0000-0003-2223-0432"""
"154","Q110157933","P1153","56771289800"
"155","Q110157935","P1153","9239402100"
"156","Q110173763","P496","""0000-0002-7555-8223"""
"157","Q110173763","P1153","57194696923"
"158","Q110173764","P496","""0000-0002-8135-8877"""
"159","Q110173765","P496","""0000-0002-2836-2332"""
"160","Q110173765","P1153","56184687800"
"161","Q45905181","P496","""0000-0001-8102-3631"""
"162","Q45905181","P1153","36190498100"
"163","Q42273772","P496","""0000-0003-2816-0498"""
"164","Q42273772","P1153","9738093500"
"165","Q87057047","P496","""0000-0002-9751-3544"""
"166","Q87057047","P1153","55940219700"
"167","Q64038098","P1153","57191513153"
"168","Q95995229","P496","""0000-0002-3470-7915"""
"169","Q95995229","P1153","57033829100"
"170","Q91102294","P496","""0000-0003-1386-2243"""
"171","Q91102294","P1153","57200959130"
"172","Q110173767","P1153","57210710659"
"173","Q110173769","P496","""0000-0002-4728-9935"""
"174","Q110173769","P1153","7401712727"
"175","Q60836465","P1153","55911125300"
"176","Q96588010","P496","""0000-0003-0839-2304"""
"177","Q96588010","P1153","56765267200"
"178","Q110173773","P1153","57190069934"
"179","Q87869593","P1153","56378069400"
"180","Q89162236","P496","""0000-0002-5636-6381"""
"181","Q89162236","P1153","50861224500"
"182","Q90618496","P496","""0000-0002-3377-0939"""
"183","Q90618496","P1153","6602821697"
"184","Q90618496","P1053","""C-7969-2009"""
"185","Q110173775","P1153","57209737865"
"186","Q40082392","P496","""0000-0001-7348-4649"""
"187","Q40082392","P1153","8883728300"
"188","Q40082392","P1053","""J-8771-2012"""
"189","Q110173776","P496","""0000-0003-2670-6899"""
"190","Q110173776","P1153","57222185561"
"191","Q110173777","P496","""0000-0001-5324-5026"""
"192","Q110173777","P1153","56335596700"
"193","Q110173778","P1153","52363159800"
"194","Q110173779","P496","""0000-0002-8120-3584"""
"195","Q110173779","P1153","15727158200"
"196","Q110173780","P496","""0000-0001-9403-0056"""
"197","Q110173780","P1153","57200121602"
"198","Q110173780","P1053","""AAM-5198-2021"""
"199","Q110173782","P1153","6603847462"
"200","Q110173783","P1153","57218659370"
"201","Q62470182","P496","""0000-0003-2427-499X"""
"202","Q62470182","P1153","7003599439"
"203","Q110173785","P496","""0000-0002-5932-5729"""
"204","Q110173785","P1153","56810728100"
"205","Q110173786","P1153","56720368700"
"206","Q83850393","P1153","56711950100"
"207","Q110173787","P1153","57202469973"
"208","Q110173788","P496","""0000-0002-4378-0823"""
"209","Q110173788","P1153","57196346327"
"210","Q42322817","P1153","27168333700"
"211","Q110173789","P1153","35387355900"
"212","Q97560081","P1153","55484744900"
"213","Q110173790","P1153","56705482500"
"214","Q110173791","P1153","57103651300"
"215","Q110173792","P1153","24075346900"
"216","Q101119696","P1153","7005017832"
"217","Q110173794","P1153","56009325300"
"218","Q64875546","P496","""0000-0002-9217-7043"""
"219","Q64875546","P1153","57189662794"
"220","Q64875546","P1053","""L-3387-2018"""
"221","Q110173796","P1153","9740718400"
"222","Q110173798","P496","""0000-0003-3600-038X"""
"223","Q110173798","P1153","57204567254"
"224","Q110173801","P1153","55175374100"
"225","Q110173802","P1153","55955565900"
"226","Q110173803","P1153","36191607500"
"227","Q110173804","P1153","14519211800"
"228","Q110173805","P1153","56584317900"
"229","Q102269941","P1153","7003915945"
"230","Q56911090","P496","""0000-0002-2630-4569"""
"231","Q56911090","P1153","55598298700"
"232","Q110173806","P1153","57211067379"
"233","Q110173807","P1153","57194595025"
"234","Q110173808","P496","""0000-0002-5252-8937"""
"235","Q110173809","P1153","53979385400"
"236","Q110173810","P496","""0000-0002-9181-8582"""
"237","Q110173810","P1153","55644554400"
"238","Q59304344","P496","""0000-0003-1068-3418"""
"239","Q59304344","P1153","23096868400"
"240","Q110173811","P1153","25026916900"
"241","Q110173812","P1153","35838069500"
"242","Q43095268","P496","""0000-0001-7483-8605"""
"243","Q43095268","P1153","7006591973"
"244","Q41673475","P1153","8788773200"
"245","Q110173813","P496","""0000-0002-7090-7105"""
"246","Q110173813","P1153","32367584500"
"247","Q110173813","P1053","""F-4993-2011"""
"248","Q110173814","P496","""0000-0001-6647-6253"""
"249","Q110173814","P1153","57201637999"
"250","Q110173815","P496","""0000-0003-1856-0527"""
"251","Q110173815","P1153","57193613381"
"252","Q110173816","P1153","16201876600"
"253","Q110173817","P496","""0000-0003-1989-5521"""
"254","Q110173817","P1153","39960896600"
"255","Q110173818","P496","""0000-0003-1868-7624"""
"256","Q110173818","P1153","56415848800"
"257","Q110173819","P496","""0000-0001-7522-6774"""
"258","Q110173819","P1153","57223087615"
"259","Q110173821","P1153","7005175266"
"260","Q41675733","P496","""0000-0001-9611-3381"""
"261","Q41675733","P1153","12763832600"
"262","Q41675733","P1053","""P-9201-2018"""
"263","Q110173822","P1153","57205261251"
"264","Q110173823","P1153","6506221173"
"265","Q83314685","P1153","52263211700"
"266","Q87712416","P496","""0000-0001-9700-0178"""
"267","Q87712416","P1153","7403520553"
"268","Q87858365","P496","""0000-0001-8605-5181"""
"269","Q87858365","P1153","57201907216"
"270","Q90781313","P496","""0000-0003-1165-0490"""
"271","Q90781313","P1153","55696862600"
"272","Q95652043","P496","""0000-0001-8726-1964"""
"273","Q95652043","P1153","57212873513"
"274","Q97541757","P496","""0000-0001-6423-3055"""
"275","Q97541757","P1153","56988518100"
"276","Q110173824","P496","""0000-0003-2129-8419"""
"277","Q110173824","P1153","55303808100"
"278","Q90325922","P1153","56255744000"
"279","Q110173826","P496","""0000-0002-5025-1241"""
"280","Q110173826","P1153","57195153974"
"281","Q110173827","P496","""0000-0002-9497-6586"""
"282","Q110173827","P1153","57191745435"
"283","Q110173827","P1053","""R-6297-2019"""
"284","Q56928359","P496","""0000-0001-8256-857X"""
"285","Q56928359","P1153","55605653900"
"286","Q56928359","P1053","""D-1270-2017"""
"287","Q110173828","P496","""0000-0003-4029-2055"""
"288","Q110173828","P1153","8638670500"
"289","Q110173828","P1053","""J-5865-2016"""
"290","Q110173829","P496","""0000-0002-0085-7851"""
"291","Q110173829","P1153","6508188988"
"292","Q110173829","P1053","""C-5237-2008"""
"293","Q110173830","P1153","6603609891"
"294","Q88001754","P1153","7201847040"
"295","Q96257508","P1153","14046753100"
"296","Q110173831","P496","""0000-0003-2702-1218"""
"297","Q110173831","P1153","57221233755"
"298","Q110173832","P1153","36798065800"
"299","Q63358919","P1153","56572875700"
"300","Q110173833","P1153","57204240311"
"301","Q59686754","P496","""0000-0001-5047-3496"""
"302","Q59686754","P1153","56717659400"
"303","Q110173834","P1153","7005735753"
"304","Q94398769","P1153","37080112600"
"305","Q61117073","P496","""0000-0003-0537-5066"""
"306","Q61117073","P1153","36499036100"
"307","Q100394150","P1153","57193449289"
"308","Q110173835","P1153","35093769100"
"309","Q110173836","P496","""0000-0001-6602-9955"""
"310","Q110173836","P1153","35177284700"
"311","Q110173837","P1153","56441682900"
"312","Q110173838","P496","""0000-0001-8770-8607"""
"313","Q110173839","P1153","36179385000"
"314","Q110173840","P1153","25923799300"
"315","Q92731644","P496","""0000-0001-7359-0097"""
"316","Q92731644","P1153","22633292100"
"317","Q56557484","P496","""0000-0003-0269-8361"""
"318","Q110173842","P1153","35809799500"
"319","Q110173843","P496","""0000-0002-1871-9668"""
"320","Q55174847","P1153","6506596610"
"321","Q110173844","P1153","57202923225"
"322","Q110173845","P1153","37029496300"
"323","Q110173846","P496","""0000-0001-6616-900X"""
"324","Q110173846","P1153","57208443868"
"325","Q90291838","P496","""0000-0003-1317-2031"""
"326","Q90291838","P1153","55573032000"
"327","Q87892768","P496","""0000-0003-3664-8776"""
"328","Q87892768","P1153","57193678918"
"329","Q110173847","P496","""0000-0003-4029-4464"""
"330","Q88316304","P496","""0000-0001-9949-8467"""
"331","Q88316304","P1153","16238003000"
"332","Q88316304","P1053","""G-4021-2016"""
"333","Q110173848","P496","""0000-0001-9893-4837"""
"334","Q110173848","P1153","39963318500"
"335","Q39992038","P496","""0000-0003-1755-7991"""
"336","Q39992038","P1153","7005084218"
"337","Q39992038","P1053","""B-9458-2009"""
"338","Q110173850","P496","""0000-0001-8102-591X"""
"339","Q110173850","P1153","55415848500"
"340","Q110173851","P1153","55978793600"
"341","Q110173852","P1153","56583617300"
"342","Q110173853","P1153","7102019403"
"343","Q110173854","P496","""0000-0001-8239-2885"""
"344","Q110173854","P1153","55241604400"
"345","Q110173855","P1153","55626895400"
"346","Q110173856","P1153","51863150800"
"347","Q92060130","P1153","7004485543"
"348","Q89585379","P496","""0000-0002-9823-0060"""
"349","Q89585379","P1153","55236489700"
"350","Q110173858","P1153","57194729971"
"351","Q89775299","P1153","56333731800"
"352","Q110173859","P1153","57033643900"
"353","Q110173860","P1153","37074024400"
"354","Q91889174","P496","""0000-0003-2505-733X"""
"355","Q91889174","P1153","57204090087"
"356","Q91889174","P1053","""X-1206-2018"""
"357","Q89378595","P496","""0000-0002-5746-7838"""
"358","Q89378595","P1153","6506737319"
"359","Q59543156","P496","""0000-0003-3661-5173"""
"360","Q59543156","P1153","57188925897"
"361","Q110173861","P496","""0000-0002-0042-1513"""
"362","Q110173861","P1153","36982882400"
"363","Q110173862","P1153","56001211800"
"364","Q110173863","P1153","50961036700"
"365","Q110173864","P496","""0000-0002-2163-813X"""
"366","Q110173864","P1153","56366332100"
"367","Q110173865","P1153","8441563300"
"368","Q37841917","P496","""0000-0002-3545-5094"""
"369","Q37841917","P1153","57203247178"
"370","Q37841917","P1053","""O-1647-2015"""
"371","Q60652336","P1153","8919210600"
"372","Q110173867","P1153","57219291480"
"373","Q110173868","P1153","16041222700"
"374","Q110173869","P1153","16634441900"
"375","Q51082534","P496","""0000-0001-8936-1117"""
"376","Q51082534","P1153","56195904800"
"377","Q110173871","P496","""0000-0002-5735-2467"""
"378","Q110173871","P1153","57200653919"
"379","Q110173872","P1153","57193729847"
"380","Q110173873","P1153","6504764072"
"381","Q62909229","P496","""0000-0003-1035-7110"""
"382","Q62909229","P1153","16063107200"
"383","Q62909229","P1053","""A-4563-2018"""
"384","Q55176142","P496","""0000-0001-8950-793X"""
"385","Q55176142","P1153","55623377300"
"386","Q55176142","P1053","""AAO-4775-2021"""
"387","Q59696126","P496","""0000-0002-0919-568X"""
"388","Q59696126","P1153","56364497200"
"389","Q59696126","P1053","""N-4926-2015"""
"390","Q110173874","P1153","55694424100"
"391","Q110173875","P1153","26325406500"
"392","Q110173876","P1153","55516049000"
"393","Q90756293","P496","""0000-0002-5403-0227"""
"394","Q90756293","P1153","7401779342"
"395","Q89814039","P496","""0000-0002-7972-1200"""
"396","Q89814039","P1153","7201780991"
"397","Q59692488","P1153","12776429400"
"398","Q90328708","P496","""0000-0002-8153-3575"""
"399","Q90328708","P1153","6602457678"
"400","Q110173877","P496","""0000-0002-7580-149X"""
"401","Q110173877","P1153","6506452153"
"402","Q57544015","P496","""0000-0001-9843-1914"""
"403","Q57544015","P1153","55246666200"
"404","Q110173878","P496","""0000-0002-8004-8981"""
"405","Q110173878","P1153","57221913161"
"406","Q110173879","P496","""0000-0002-3889-4789"""
"407","Q110173879","P1153","57191885802"
"408","Q92148280","P496","""0000-0001-6595-6298"""
"409","Q92148280","P1153","57201275323"
"410","Q87612680","P1153","55800001800"
"411","Q88675330","P496","""0000-0002-4926-3907"""
"412","Q88675330","P1153","13907875000"
"413","Q50421981","P496","""0000-0003-2306-8801"""
"414","Q50421981","P1153","6601965887"
"415","Q110173881","P496","""0000-0002-1791-4947"""
"416","Q110173881","P1153","51763328400"
"417","Q110173882","P1153","55900610500"
"418","Q110173884","P1153","57201056939"
"419","Q100513542","P1153","26434253400"
"420","Q110173886","P496","""0000-0002-0312-4100"""
"421","Q110173886","P1153","35172608600"
"422","Q110173887","P496","""0000-0002-4237-2975"""
"423","Q110173887","P1153","26036378900"
"424","Q110173888","P1153","57205185073"
"425","Q110173889","P1153","57211084137"
"426","Q110173890","P496","""0000-0002-1474-7696"""
"427","Q110173890","P1153","57216039305"
"428","Q28050853","P496","""0000-0003-4550-2277"""
"429","Q28050853","P1153","6603390424"
"430","Q28050853","P1053","""F-3415-2014"""
"431","Q87908008","P496","""0000-0002-9940-5926"""
"432","Q87908008","P1153","25631700700"
"433","Q87908008","P1053","""B-5497-2011"""
"434","Q110173891","P496","""0000-0003-1763-5689"""
"435","Q110173892","P1153","26639060300"
"436","Q110173893","P1153","55136193500"
"437","Q110173894","P1153","56674573400"
"438","Q43095006","P496","""0000-0001-7482-3278"""
"439","Q43095006","P1153","7003501082"
"440","Q43095006","P1053","""B-5971-2014"""
"441","Q110173895","P1153","55258969700"
"442","Q39062050","P496","""0000-0001-5329-280X"""
"443","Q39062050","P1153","10142723000"
"444","Q7172755","P1153","56743431700"
"445","Q110173896","P1153","57190253908"
"446","Q64851178","P496","""0000-0001-6529-5426"""
"447","Q64851178","P1153","57193061489"
"448","Q110173897","P496","""0000-0002-6425-7003"""
"449","Q110173897","P1153","55846504500"
"450","Q92515298","P496","""0000-0001-7567-0517"""
"451","Q92515298","P1153","57195579355"
"452","Q92515298","P1053","""N-9512-2019"""
"453","Q110173900","P496","""0000-0002-6188-2663"""
"454","Q110173900","P1153","7404446594"
"455","Q110173901","P496","""0000-0003-2364-3730"""
"456","Q110173901","P1153","55757072900"
"457","Q110173902","P496","""0000-0002-6729-1354"""
"458","Q110173902","P1153","57210970495"
"459","Q110173902","P1053","""AAN-9672-2020"""
"460","Q110173903","P1153","56178743400"
"461","Q59164472","P1153","35197883900"
"462","Q110173904","P1153","57191296130"
"463","Q89802910","P496","""0000-0002-1458-3134"""
"464","Q89802910","P1153","30367448400"
"465","Q110173905","P1153","52163217000"
"466","Q110173906","P1153","55791916600"
"467","Q110173907","P1153","56015677100"
"468","Q102210245","P496","""0000-0002-5630-1502"""
"469","Q102210245","P1153","40460915100"
"470","Q99568875","P496","""0000-0002-9149-3220"""
"471","Q99568875","P1153","57201581369"
"472","Q110173910","P1153","36338722100"
"473","Q17517004","P496","""0000-0001-5864-4464"""
"474","Q17517004","P1153","8068208100"
"475","Q17517004","P1053","""C-2138-2016"""
"476","Q92157988","P496","""0000-0003-3758-0398"""
"477","Q92157988","P1153","57189852245"
"478","Q92157988","P1053","""U-9132-2019"""
"479","Q110173912","P1153","55845080700"
"480","Q110173913","P1153","6506422160"
"481","Q87036073","P496","""0000-0001-8203-4682"""
"482","Q87036073","P1153","56584258900"
"483","Q110173914","P1153","36930039100"
"484","Q110173914","P1053","""L-9012-2016"""
"485","Q110173916","P1153","57208878972"
"486","Q110173917","P496","""0000-0002-8094-556X"""
"487","Q110173917","P1153","56651018000"
"488","Q88365315","P1153","55621438500"
"489","Q39798225","P496","""0000-0002-7671-6983"""
"490","Q39798225","P1153","6507110113"
"491","Q39798225","P1053","""AAE-7979-2019"""
"492","Q19871273","P1153","16063082900"
"493","Q56978821","P496","""0000-0003-2136-4105"""
"494","Q56978821","P1153","57191617138"
"495","Q110173918","P1153","53263125300"
"496","Q110173919","P1153","57196940554"
"497","Q110173920","P1153","23491274000"
"498","Q110173922","P1153","56125218600"
"499","Q110173923","P496","""0000-0002-4555-2517"""
"500","Q110173923","P1153","56379839600"
"501","Q110173924","P496","""0000-0003-1631-3119"""
"502","Q110173924","P1153","56893451700"
"503","Q110173925","P496","""0000-0002-3429-716X"""
"504","Q96098157","P496","""0000-0002-1784-7836"""
"505","Q96098157","P1153","56986515700"
"506","Q110173926","P496","""0000-0001-8237-0731"""
"507","Q110173926","P1153","56029516500"
"508","Q110173927","P496","""0000-0002-0940-1869"""
"509","Q110174558","P496","""0000-0002-3661-4026"""
"510","Q110174558","P1153","54932155700"
"511","Q110174559","P1153","56589906900"
"512","Q57954340","P1153","25122484900"
"513","Q110174560","P496","""0000-0001-7597-4297"""
"514","Q110174560","P1153","57216340968"
"515","Q110174561","P496","""0000-0002-5027-7871"""
"516","Q110174561","P1153","7103035357"
"517","Q110174561","P1053","""O-7398-2014"""
"518","Q110174562","P496","""0000-0002-5814-2242"""
"519","Q110174562","P1153","55845435000"
"520","Q110174562","P1053","""M-6615-2019"""
"521","Q110174563","P1153","57222605675"
"522","Q110174564","P496","""0000-0002-7328-234X"""
"523","Q110174564","P1153","55428664300"
"524","Q110174565","P496","""0000-0002-9771-1997"""
"525","Q110174565","P1153","57188986521"
"526","Q110174566","P1153","24532951900"
"527","Q110174567","P1153","57219204566"
"528","Q110174568","P1153","55315816600"
"529","Q53997974","P496","""0000-0002-6175-6325"""
"530","Q53997974","P1153","36184914800"
"531","Q39032060","P496","""0000-0001-7001-8976"""
"532","Q39032060","P1153","6701580257"
"533","Q39032060","P1053","""I-8526-2015"""
"534","Q89900023","P496","""0000-0002-8500-1584"""
"535","Q89900023","P1153","56743676300"
"536","Q110174569","P496","""0000-0003-3362-4576"""
"537","Q110174569","P1153","13614246200"
"538","Q110174570","P496","""0000-0003-3938-637X"""
"539","Q110174570","P1153","55427599200"
"540","Q26831330","P496","""0000-0002-6163-9073"""
"541","Q26831330","P1153","57191040078"
"542","Q26831330","P1053","""M-1788-2019"""
"543","Q110174571","P1153","57193611467"
"544","Q91068663","P496","""0000-0002-3550-1492"""
"545","Q91068663","P1153","57205744311"
"546","Q37831149","P496","""0000-0003-1139-3308"""
"547","Q37831149","P1153","36850333000"
"548","Q37831149","P1053","""G-6640-2018"""
"549","Q110174572","P1153","7202467251"
"550","Q110174573","P496","""0000-0002-9834-1086"""
"551","Q110174573","P1153","7006650371"
"552","Q110174576","P1153","56829423800"
"553","Q110174577","P1153","57219456661"
"554","Q110174578","P1153","7005729242"
"555","Q91891967","P496","""0000-0003-4305-6760"""
"556","Q91891967","P1153","25937192300"
"557","Q110174580","P496","""0000-0002-2736-0415"""
"558","Q110174580","P1153","7203057420"
"559","Q110174580","P1053","""G-6031-2010"""
"560","Q110174581","P1153","7101725987"
"561","Q110174583","P1153","6507324636"
"562","Q110174585","P496","""0000-0003-0080-6883"""
"563","Q110174585","P1153","56432607800"
"564","Q110174586","P1153","57192417747"
"565","Q110174587","P496","""0000-0003-3331-4244"""
"566","Q78691006","P496","""0000-0002-1112-6835"""
"567","Q78691006","P1153","57214455394"
"568","Q110174588","P1153","16041685300"
"569","Q90373991","P1153","55760236900"
"570","Q110174589","P496","""0000-0002-5391-256X"""
"571","Q38589501","P496","""0000-0003-4482-4936"""
"572","Q38589501","P1153","57214858294"
"573","Q110174591","P1153","7005000024"
"574","Q89342777","P1153","16038668600"
"575","Q110174592","P496","""0000-0002-6021-6191"""
"576","Q110174592","P1153","57200970717"
"577","Q110174593","P496","""0000-0001-7720-1589"""
"578","Q110174593","P1153","56893813300"
"579","Q110174594","P1153","57189404057"
"580","Q110174595","P496","""0000-0001-6872-4732"""
"581","Q110174595","P1153","7007174573"
"582","Q110174596","P496","""0000-0002-3746-236X"""
"583","Q110174596","P1153","57208736848"
"584","Q110174597","P1153","56332980600"
"585","Q110174598","P1153","56016111500"
"586","Q43238453","P496","""0000-0002-9717-7560"""
"587","Q43238453","P1153","10045493800"
"588","Q43238453","P1053","""T-8976-2019"""
"589","Q110174599","P496","""0000-0002-8892-3517"""
"590","Q110174599","P1153","57188693920"
"591","Q110174600","P1153","14065880700"
"592","Q110174601","P496","""0000-0002-0064-2332"""
"593","Q110174601","P1153","57204630541"
"594","Q110174603","P1153","57222229271"
"595","Q110174604","P496","""0000-0002-2848-4161"""
"596","Q110174604","P1153","25026127200"
"597","Q110174605","P496","""0000-0002-5084-2631"""
"598","Q110174605","P1153","37039230800"
"599","Q110174606","P1153","56732982000"
"600","Q110174607","P1153","36650230300"
"601","Q93220305","P496","""0000-0001-5606-3201"""
"602","Q93220305","P1153","24586654200"
"603","Q110174609","P1153","54413805200"
"604","Q110174610","P496","""0000-0003-3143-8729"""
"605","Q110174610","P1153","57203944725"
"606","Q110174610","P1053","""F-2497-2014"""
"607","Q110174611","P1153","55516202200"
"608","Q58339298","P496","""0000-0002-0825-0608"""
"609","Q58339298","P1153","20435563300"
"610","Q56507642","P496","""0000-0003-4294-6008"""
"611","Q56507642","P1153","7007160870"
"612","Q56507642","P1053","""A-1129-2016"""
"613","Q110174612","P1153","57200386553"
"614","Q110174613","P1153","56152083800"
"615","Q110174614","P1153","57213625899"
"616","Q110174615","P496","""0000-0002-1863-3557"""
"617","Q110174615","P1153","57210444335"
"618","Q92391378","P496","""0000-0002-0533-3715"""
"619","Q92391378","P1153","57201703999"
"620","Q110174618","P496","""0000-0001-8945-4778"""
"621","Q110174618","P1153","57201012632"
"622","Q110174618","P1053","""W-6507-2019"""
"623","Q110174619","P1153","55342988600"
"624","Q110174621","P1153","55536604200"
"625","Q110174622","P1153","8647906100"
"626","Q110174623","P496","""0000-0002-3406-2985"""
"627","Q110174623","P1153","57203007150"
"628","Q110174624","P1153","55769554600"
"629","Q110174625","P496","""0000-0003-3285-8282"""
"630","Q110174625","P1153","7005760210"
"631","Q47381973","P1153","14321406700"
"632","Q110174626","P1153","57219304502"
"633","Q110174627","P1153","23974455200"
"634","Q110174628","P496","""0000-0001-5231-0287"""
"635","Q110174628","P1153","56721433000"
"636","Q110174629","P1153","57209642084"
