"","Item","Prop","Value"
"4107","Q61090184","P496","""0000-0003-1396-5488"""
"4108","Q61090184","P1153","55871462700"
"4109","Q110247139","P496","""0000-0003-4819-0125"""
"4110","Q110247139","P1153","6504502945"
"4111","Q110247140","P1153","57194571356"
"4112","Q110247141","P496","""0000-0001-7694-994X"""
"4113","Q110247141","P1153","6506654583"
"4114","Q110247141","P1053","""H-9788-2019"""
"4115","Q110247142","P496","""0000-0002-9414-953X"""
"4116","Q110247143","P1153","37665181800"
"4117","Q110247144","P496","""0000-0002-9385-5651"""
"4118","Q110247144","P1153","33967877900"
"4119","Q110247145","P496","""0000-0003-3895-9375"""
"4120","Q110247145","P1153","56835207600"
"4121","Q110247145","P1053","""I-5981-2019"""
"4122","Q110247147","P1153","55149425700"
"4123","Q59684661","P1153","53063851100"
"4124","Q96257397","P496","""0000-0002-4205-7094"""
"4125","Q96257397","P1153","57201723534"
"4126","Q110247148","P1153","7005927873"
"4127","Q37380953","P496","""0000-0001-5073-6954"""
"4128","Q37380953","P1153","8921813100"
"4129","Q110247149","P1153","57200294969"
"4130","Q110247150","P496","""0000-0001-7622-1975"""
"4131","Q110247151","P1153","56507330600"
"4132","Q64707961","P496","""0000-0002-2703-6383"""
"4133","Q64707961","P1153","7004944873"
"4134","Q110247156","P496","""0000-0003-3113-6376"""
"4135","Q110247156","P1153","57192300095"
"4136","Q110247158","P1153","14058433000"
"4137","Q110247160","P1153","35071407500"
"4138","Q110247161","P1153","55631485500"
"4139","Q58425123","P496","""0000-0003-0534-733X"""
"4140","Q58425123","P1153","34976856200"
"4141","Q58425123","P1053","""N-9394-2018"""
"4142","Q37841934","P496","""0000-0001-6660-9183"""
"4143","Q37841934","P1153","8365441400"
"4144","Q110247163","P496","""0000-0001-5033-9510"""
"4145","Q110247163","P1153","55967999200"
"4146","Q91257355","P496","""0000-0002-8143-4956"""
"4147","Q91257355","P1153","57204272738"
"4148","Q110247164","P1153","36662397300"
"4149","Q110247165","P1153","35782088000"
"4150","Q110247167","P1153","57198518802"
"4151","Q105751019","P1153","7404844963"
"4152","Q45329618","P496","""0000-0001-7802-625X"""
"4153","Q45329618","P1153","7102942263"
"4154","Q37372856","P496","""0000-0002-2631-4337"""
"4155","Q37372856","P1153","16233588800"
"4156","Q110247168","P496","""0000-0002-6522-537X"""
"4157","Q110247168","P1153","12775794400"
"4158","Q110247170","P1153","7005880514"
"4159","Q85780263","P496","""0000-0003-0529-0804"""
"4160","Q85780263","P1153","55879430400"
"4161","Q110247171","P1153","56401374100"
"4162","Q95972474","P496","""0000-0001-5413-3771"""
"4163","Q95972474","P1153","54899240900"
"4164","Q110247173","P1153","57129123800"
"4165","Q110247174","P1153","57214221566"
"4166","Q110247177","P1153","55713480500"
"4167","Q110247178","P496","""0000-0003-1990-730X"""
"4168","Q110247178","P1153","35933414300"
"4169","Q110247179","P496","""0000-0002-7957-8328"""
"4170","Q110247180","P496","""0000-0001-9112-6642"""
"4171","Q110247180","P1153","55991084500"
"4172","Q110247182","P1153","57216564923"
"4173","Q64785094","P496","""0000-0002-7410-8706"""
"4174","Q64785094","P1153","57196179721"
"4175","Q110247184","P496","""0000-0002-2537-4709"""
"4176","Q110247184","P1153","56336095800"
"4177","Q110247184","P1053","""V-7227-2019"""
"4178","Q110247185","P1153","57217584822"
"4179","Q110247186","P1153","56795842400"
"4180","Q110247187","P1153","27167709000"
"4181","Q110247188","P1153","57218864035"
"4182","Q96687474","P496","""0000-0003-1890-5548"""
"4183","Q96687474","P1153","57219700565"
"4184","Q110247189","P1153","14831417000"
"4185","Q99210402","P496","""0000-0003-4109-1693"""
"4186","Q99210402","P1153","57201201813"
"4187","Q61913683","P496","""0000-0003-0673-4497"""
"4188","Q61913683","P1153","7003727034"
"4189","Q99708840","P496","""0000-0002-8022-4017"""
"4190","Q99708840","P1153","21743203100"
"4191","Q92380922","P496","""0000-0002-9746-2839"""
"4192","Q92380922","P1153","55756054100"
"4193","Q57236504","P496","""0000-0002-8964-4456"""
"4194","Q57236504","P1153","13613801200"
"4195","Q57236504","P1053","""I-6511-2013"""
"4196","Q106081568","P496","""0000-0002-2991-2228"""
"4197","Q106081568","P1153","22135707700"
"4198","Q110247191","P1153","55934876600"
"4199","Q110247192","P1153","7006532502"
"4200","Q43194624","P496","""0000-0001-8243-8521"""
"4201","Q43194624","P1153","26657373200"
"4202","Q110247194","P1153","7003765820"
"4203","Q110247195","P1153","57194230441"
"4204","Q42383810","P496","""0000-0001-8065-8838"""
"4205","Q42383810","P1153","56468701800"
"4206","Q110247198","P496","""0000-0002-0219-860X"""
"4207","Q110247198","P1153","57222315626"
"4208","Q110247199","P1153","57189691580"
"4209","Q96067454","P496","""0000-0002-4008-6529"""
"4210","Q96067454","P1153","57192990032"
"4211","Q89638755","P496","""0000-0002-0300-6550"""
"4212","Q89638755","P1153","57222298347"
"4213","Q89638755","P1053","""AAX-7788-2020"""
"4214","Q95586390","P496","""0000-0002-4835-2772"""
"4215","Q95586390","P1153","8685977600"
"4216","Q87719699","P496","""0000-0002-7628-0702"""
"4217","Q87719699","P1153","56405825300"
"4218","Q87719699","P1053","""J-3898-2019"""
"4219","Q110247202","P496","""0000-0001-8467-603X"""
"4220","Q110247202","P1153","7003848404"
"4221","Q110247203","P1153","56660386300"
"4222","Q110247205","P1153","36842989000"
"4223","Q110247207","P1153","57211600836"
"4224","Q58364234","P496","""0000-0002-7977-0512"""
"4225","Q58364234","P1153","26436312000"
"4226","Q110247208","P496","""0000-0002-4276-3079"""
"4227","Q110247208","P1153","57219027656"
"4228","Q110247209","P1153","7005592070"
"4229","Q110247210","P496","""0000-0002-7007-4799"""
"4230","Q110247210","P1153","57201377317"
"4231","Q110247211","P496","""0000-0002-3603-6617"""
"4232","Q110247211","P1153","55574235154"
"4233","Q110247211","P1053","""AAD-5543-2020"""
"4234","Q56697450","P496","""0000-0003-0877-0424"""
"4235","Q56697450","P1153","57191679444"
"4236","Q110247213","P1153","57191676436"
"4237","Q91900110","P496","""0000-0002-0276-3293"""
"4238","Q91900110","P1153","57209331122"
"4239","Q110247215","P496","""0000-0002-2193-2152"""
"4240","Q110247215","P1153","57189298639"
"4241","Q110247216","P496","""0000-0002-0245-0799"""
"4242","Q110247216","P1153","55717328700"
"4243","Q110247217","P496","""0000-0002-6264-005X"""
"4244","Q110247217","P1153","55966724600"
"4245","Q110247218","P1153","56111629100"
"4246","Q87628686","P496","""0000-0003-1944-5301"""
"4247","Q87628686","P1153","55377216000"
"4248","Q64595835","P496","""0000-0002-1489-1022"""
"4249","Q64595835","P1153","56166632800"
"4250","Q110247219","P1153","14628999000"
"4251","Q110247221","P1153","54398989300"
"4252","Q110247222","P496","""0000-0002-0312-6763"""
"4253","Q110247222","P1153","57210568224"
"4254","Q110247223","P1153","55800192200"
"4255","Q96227442","P496","""0000-0003-4312-1358"""
"4256","Q96227442","P1153","7406677935"
"4257","Q59675370","P496","""0000-0002-8995-9386"""
"4258","Q59675370","P1153","18836314700"
"4259","Q59675370","P1053","""B-3956-2010"""
"4260","Q110247224","P496","""0000-0003-1455-8147"""
"4261","Q110247225","P1153","57189283657"
"4262","Q110247226","P496","""0000-0003-4104-3405"""
"4263","Q110247226","P1153","57212342213"
"4264","Q92141470","P496","""0000-0002-5534-7736"""
"4265","Q92141470","P1153","57208899261"
"4266","Q110247228","P496","""0000-0001-9748-255X"""
"4267","Q110247228","P1153","55922903600"
"4268","Q110247229","P1153","55252715900"
"4269","Q110247230","P496","""0000-0001-6497-9447"""
"4270","Q110247230","P1153","10241906100"
"4271","Q110247232","P1153","57222761056"
"4272","Q55117844","P496","""0000-0003-4421-3609"""
"4273","Q55117844","P1153","7004061871"
"4274","Q90058710","P496","""0000-0003-1824-2713"""
"4275","Q90058710","P1153","36666748700"
"4276","Q110247235","P1153","6603384177"
"4277","Q91313682","P496","""0000-0003-3864-1658"""
"4278","Q91313682","P1153","55499366300"
"4279","Q91179403","P496","""0000-0002-2180-2606"""
"4280","Q91179403","P1153","7005497916"
"4281","Q110247236","P496","""0000-0002-3443-5593"""
"4282","Q110247236","P1153","57192710765"
"4283","Q110247237","P1153","57221559738"
"4284","Q110247238","P1153","7006559509"
"4285","Q110247239","P496","""0000-0001-8705-157X"""
"4286","Q110247239","P1153","57216726605"
"4287","Q110247240","P1153","57205341822"
"4288","Q110247241","P496","""0000-0003-3267-5574"""
"4289","Q110247241","P1153","56038149000"
"4290","Q110247243","P496","""0000-0002-2005-9099"""
"4291","Q110247243","P1153","36994889800"
"4292","Q110247244","P496","""0000-0002-5630-050X"""
"4293","Q110247244","P1153","57193232688"
"4294","Q110247245","P1153","57221629791"
"4295","Q110247246","P1153","37665636500"
"4296","Q91479294","P496","""0000-0002-6187-0929"""
"4297","Q91479294","P1153","56099914800"
"4298","Q91479294","P1053","""AAH-2542-2019"""
"4299","Q110247247","P1153","57191826200"
"4300","Q110247249","P1153","56692262900"
"4301","Q110247250","P496","""0000-0002-1011-6192"""
"4302","Q110247253","P1153","54786636900"
"4303","Q110247254","P1153","57210114146"
"4304","Q110247255","P1153","57216828215"
"4305","Q110247256","P1153","56783125100"
"4306","Q110247257","P496","""0000-0002-6981-688X"""
"4307","Q110247257","P1153","37028352300"
"4308","Q110247258","P1153","8370872500"
"4309","Q110247259","P1153","52364430200"
"4310","Q56381136","P496","""0000-0002-7946-2472"""
"4311","Q56381136","P1153","35208531700"
"4312","Q89763003","P496","""0000-0002-7085-1455"""
"4313","Q89763003","P1153","57204012272"
"4314","Q56798500","P496","""0000-0003-0653-9704"""
"4315","Q56798500","P1153","12244666000"
"4316","Q33003420","P496","""0000-0002-7337-0518"""
"4317","Q33003420","P1153","6602767950"
"4318","Q110247260","P1153","57189067551"
"4319","Q60585433","P1153","57207570981"
"4320","Q110247262","P1153","49863998100"
"4321","Q86972938","P496","""0000-0002-9793-6280"""
"4322","Q86972938","P1153","57022565800"
"4323","Q110247263","P1153","9732918200"
"4324","Q110247264","P1153","57191269661"
"4325","Q110247266","P1153","56645122700"
"4326","Q110247268","P1153","36623867600"
"4327","Q110247269","P1153","7103198502"
"4328","Q56815222","P496","""0000-0002-3985-7429"""
"4329","Q56815222","P1153","7006478638"
"4330","Q56815222","P1053","""R-4757-2018"""
"4331","Q45280629","P496","""0000-0002-2885-5292"""
"4332","Q45280629","P1153","8632011700"
"4333","Q45280629","P1053","""A-5538-2008"""
"4334","Q110247271","P1153","36023806200"
"4335","Q110247272","P496","""0000-0003-1325-626X"""
"4336","Q110247272","P1153","57204963983"
"4337","Q78238508","P496","""0000-0002-9451-8825"""
"4338","Q78238508","P1153","7005848921"
"4339","Q110247274","P1153","37661703100"
"4340","Q110247277","P496","""0000-0002-6160-3791"""
"4341","Q110247277","P1153","57194800606"
"4342","Q110247277","P1053","""J-7513-2017"""
"4343","Q110247279","P1153","57222905588"
"4344","Q110247280","P1153","57195679317"
"4345","Q61154240","P496","""0000-0002-9873-4023"""
"4346","Q61154240","P1153","55965698400"
"4347","Q110247283","P1153","7102188766"
"4348","Q94516753","P496","""0000-0001-5070-2332"""
"4349","Q94516753","P1153","57205195102"
"4350","Q16105688","P1153","35554492600"
"4351","Q110247285","P1153","6701840304"
"4352","Q110247286","P1153","55845422600"
"4353","Q110247288","P1153","56410593000"
"4354","Q110247288","P1053","""B-3246-2019"""
"4355","Q110247290","P496","""0000-0003-4514-9493"""
"4356","Q110247291","P496","""0000-0002-4080-9520"""
"4357","Q110247291","P1153","57196123475"
"4358","Q110247293","P1153","16070148500"
"4359","Q110247293","P1053","""H-2020-2011"""
"4360","Q110247296","P496","""0000-0002-6141-4093"""
